Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Portland to Lake Oswego Transit Project,HIA reports,2010,"An HIA  and environmental impact statement examining options for a proposed public transit corridor in Portland, Oregon.","Oregon Public Health Institute, U.S. Centers for Disease Control and Prevention, National Network of Public Health Institutes",,Portland,Oregon,,"Planning and zoning,Transportation","Planning,Public transit","Access to healthy food,Access to services/medical care,Clean air and water,Diet and physical activity,Employment",Regional,Urban,Nonprofit organization,"Children,Economically disadvantaged,Older adults,Individuals with disabilities","Literature review,Qualitative research",Yes,Other funding,Completed
Climate Smart Community Scenarios ,HIA reports,2013,"An HIA to describe the health effects of proposed Portland, Oregon, metro region carbon-reduction strategies and ensure that the final transportation and land use plans include the best health-promoting elements.","Oregon Health Authority, Metro Regional Government",,"Portland Metro region: Clackamas, Multnomah, and Washington Counties",Oregon,,Transportation,"Regulation,Resilience and sustainability,Active transportation,Public transit","Safe and accessible active transportation routes,Safe and affordable public transit,Safe street infrastructure,Clean air and water",Regional,Urban,Government agency,"Children,Older adults,Economically disadvantaged,Racial and ethnic minorities","Literature review,Quantitative research",No,Other funding,Completed
Benton County Agricultural Zoning,HIA reports,In progress,"An HIA on a zoning proposal that would expand urban agriculture in Corvallis, Oregon.",Benton County Health Department,,Corvallis,Oregon,,"Agriculture,Planning and zoning","Food and nutrition,Production,Land-use planning",Access to healthy food,Local,Urban,Government agency,"Economically disadvantaged,Children",,No,Other funding,In progress
Benton Accessory Dwelling Units,HIA reports,2010,"An HIA that evaluated a series of policy options to amend a code for Accessory Dwelling Units in Benton County, Oregon.",Benton County Health Department,,Benton County,Oregon,,"Housing,Planning and zoning",Land-use planning,"Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Income and wealth,Family and social support,Access to services/medical care",County,Rural,Government agency,"Older adults,Individuals with disabilities",,No,Other funding,Completed
Augusta Lane Bicycle and Pedestrian Bridge,HIA reports,"2014, July","A rapid HIA to identify the potential health effects of a proposed bicycle and pedestrian bridge over Beaverton Creek in Aloha-Reedville, Oregon.","Washington County Department of Health and Human Services, Public Health Division; Washington County Department of Land Use and Transportation",,Beaverton,Oregon,,"Planning and zoning,Transportation","Active transportation,Bridges and roads,Land-use planning","Community safety,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,Suburban,Government agency,Chronic health conditions,Literature review,No,Other funding,Completed
Crook County Master Plan,HIA reports,2011,"An HIA of pedestrian and bicycle infrastructure in Prineville, Oregon, to inform an updated community plan.","Oregon Department of Human Services, Public Health Division",,Crook County,Oregon,,Planning and zoning,"Active transportation,Bridges and roads,Planning","Diet and physical activity,Safe street infrastructure,Safe and accessible active transportation routes",County,Urban,Government agency,"Economically disadvantaged,Homeless,Chronic health conditions","Literature review,Primary research,Qualitative research",No,Other funding,Completed
I-5 Columbia River Crossing,HIA reports,"2008, June",An HIA that examined the health effects of proposals for a renovation and expansion of the Interstate 5 Columbia River crossing between Oregon and Washington.,Multnomah County Health Department,,Portland,Oregon,,Transportation,"Active transportation,Bridges and roads,Public transit","Clean air and water,Access to services/medical care,Noise,Safe street infrastructure,Safe and accessible active transportation routes",State,"Urban,Rural",Government agency,"Children,Economically disadvantaged,Older adults",Literature review,Yes,Other funding,Completed
Evaluation of Landfill and Waste-to-Energy Options for Managing Municipal Solid Waste,HIA reports,"2017, July","A health impact assessment to evaluate the potential health effects of managing 200,000 tons per year of the Portland, Oregon, metro region’s municipal solid waste through a waste-to-energy facility versus a conventional landfill.","Oregon Metro, Ollson Environmental Health Management, HDR Engineering",,"Portland Metro region: Clackamas, Multnomah, and Washington Counties",Oregon,,Other,Waste management,Clean air and water,Local,"Urban,Suburban,Rural","Government agency,For-profit organization","Children,Chronic health conditions,Older adults,Racial and ethnic minorities",Quantitative research,No,Other funding,Completed
Eugene-Springfield Consolidated Plan and the Impact of Housing on Children’s Health,HIA reports,"2014, August","A rapid HIA on affordable housing policy to inform a 2015 update to the consolidated plan for the cities of Eugene and Springfield, Oregon, focusing on impacts to children’s health.","Lane County Public Health, Eugene Planning and Development Department, Oregon Public Health Institute",,Lake County,Oregon,,"Community development,Housing","Planning,Mental/behavioral health","Alcohol, tobacco, and drug use,Diet and physical activity,Safe, affordable, and healthy housing,Education,Adverse childhood experiences,Community safety,Access to healthy food",County,Urban,Nonprofit organization,"Children,Economically disadvantaged","Literature review,Qualitative research",No,Other funding,Completed
Curry County Housing Stock Upgrade Initiative Pilot,HIA reports,"2013, August","An HIA of the potential effects on Curry County, Oregon, residents’ health of upgraded manufactured housing, which found that replacing older homes could significantly benefit health by improving indoor air quality, reducing falls, and boosting emotional well-being.","Curry County Public Health and Curry County Economic Development, with support from Oregon Health Authority, Upstream Public Health, NeighborWorks Umpqua, and Oregon Solutions",,Curry County,Oregon,,Housing,"Programs,Financing,Mental/behavioral health,Utilities","Safe, affordable, and healthy housing,Employment",County,Rural,Government agency,"Economically disadvantaged,Older adults,Chronic health conditions","Literature review,Primary research,Quantitative research,Qualitative research",Yes,Other funding,Completed
Connecting Rural Communities: U.S. 30 & Rainier Veterans Way Crossing,HIA reports,"2015, August","An HIA to examine the correlation between active transportation and health, access to grocery outlets and physical activity resources, and potential reduction of pedestrian and bicycle accidents and obesity rates associated with a proposed stoplight and signaled crosswalk at U.S. 30 and Veterans Way in Rainier, Oregon.","The Public Health Foundation of Columbia County; Oregon State University Extension Services, Columbia County; City of Rainier;  Oregon Health Authority's Health Impact Assessment Program; and Oregon Health Authority's Environmental Public Health Tracking Division",,Rainier,Oregon,,Transportation,"Active transportation,Bridges and roads,Planning","Safe street infrastructure,Safe and accessible active transportation routes,Diet and physical activity",Local,Rural,Nonprofit organization,"Economically disadvantaged,Children,Individuals with disabilities,Older adults,Chronic health conditions","Literature review,Primary research,Survey,GIS mapping",No,Other funding,Completed
Wind Energy,HIA reports,"2013, March",An HIA focused on the known health effects of wind farms and the policies and standards used to site wind facilities in Oregon.,"Oregon Department of Human Services, Public Health Division",,,Oregon,,Energy,"Utilities,Production,Wind","Clean air and water,Employment,Income and wealth",State,Rural,Government agency,"Children,Chronic health conditions,Older adults","Quantitative research,Literature review,Primary research",No,Other funding,Completed
Chukchi Sea Planning Area-Oil and Gas Lease Sale 193 and Seismic Surveying Activities,HIA reports,2007,"An HIA that addressed proposed oil and gas leasing off the north coast of Alaska, with a focus on health concerns expressed by the predominantly Alaska Native communities in the area who depend on locally harvested fish and game.","Minerals Management Service, Alaska OCS Region",,,Alaska,,"Energy,Natural resources management,Planning and zoning","Economic development,Gas and oil,Food and nutrition,Land-use planning,Mental/behavioral health,Siting,Water","Access to healthy food,Alcohol, tobacco, and drug use,Clean air and water,Cultural well-being,Employment,Family and social support,Income and wealth",Federal,Rural,Government agency,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Qualitative research,Primary research,Literature review",No,Other funding,Completed
Chuitna Coal Mine,HIA reports,In progress,An HIA to provide a review of potential health effects related to the proposed Chuitna Coal Mine in Alaska.,"Alaska Department of Health and Social Services, Alaska Department of Natural Resources, Alaska Department of Fish and Game, Alaska Department of Environmental Conservation, Alaska Native Tribal Health Consortium, Southcentral Foundation, U.S. Army Corps",,Tyonek,Alaska,,"Energy,Natural resources management",Coal,Clean air and water,Federal,"Tribal,Rural",Government agency,Racial and ethnic minorities,,No,Other funding,In progress
National Petroleum Reserve-Alaska Integrated Activity Plan,HIA reports,2012, An environmental impact statement to consider the U.S. Bureau of Land Management’s proposed leasing plans for land within the National Petroleum Reserve-Alaska.,"North Slope Borough, Habitat Health Impact Consulting",,North Slope Borough,Alaska,,"Energy,Natural resources management","Economic development,Production,Gas and oil","Clean air and water,Cultural well-being,Diet and physical activity,Employment",Local,,Nonprofit organization,Racial and ethnic minorities,,No,Other funding,Completed
Northeast National Petroleum Reserve,HIA reports,2007,"An HIA that examined health effects of proposed oil leasing in the National Petroleum Reserve–Alaska associated with exposure to pollution, impacts on fish and game (a staple of the local diet), and social and cultural stress.","U.S. Bureau of Land Management, Alaska Intertribal Council, Columbia University Institute on Medicine as a Profession",,North Slope Borough,Alaska,,"Energy,Natural resources management","Production,Gas and oil,Siting","Access to healthy food,Alcohol, tobacco, and drug use,Clean air and water",Federal,"Rural,Tribal",Government agency,"Chronic health conditions,Racial and ethnic minorities",,Yes,Other funding,Completed
Livengood Gold Mine,HIA reports,,"An HIA to review potential health effects related to the proposed Livengood Gold Mine in Fairbanks, Alaska.",Alaska Department of Health and Social Services (lead);  Alaska Department of Natural Resources; Alaska Department of Fish and Game; Alaska Department of Environmental Conservation; Alaska Native Tribal Health Consortium; Tanana Chiefs Conference,,Fairbanks,Alaska,,"Natural resources management,Industrial","Minerals,Siting",Clean air and water,Local,"Rural,Tribal",Government agency,,,No,Other funding,In progress
Arctic Outer Continental Shelf Oil and Gas Multiple Lease Sale,HIA reports,2009,An HIA and environmental impact statement that addressed proposed oil and gas leasing off the north coast of Alaska and the potential health risks and benefits for the predominantly Alaska Native communities in the area that depend on locally harvested fish and game.,Alaska Inter-Tribal Council,,,Alaska,,"Energy,Natural resources management,Planning and zoning","Gas and oil,Food and nutrition,Land-use planning,Siting,Water","Access to healthy food,Clean air and water,Cultural well-being",State,"Rural,Tribal",Government agency,Racial and ethnic minorities,,No,Other funding,Completed
Alaska Pipeline Project,HIA reports,In Progress,An HIA that was initiated to provide decision-makers with a review of potential health effects related to the proposed Alaska Pipeline Project.,Alaska Department of Health and Social Services (lead agency); Alaska Department of Natural Resources; Alaska Department of Fish and Game; Alaska Department of Environmental Conservation; Alaska Native Tribal Health Consortium; North Slope Borough; Tanana,,Anchorage,Alaska,,"Energy,Natural resources management,Planning and zoning","Gas and oil,Land-use planning,Siting",Clean air and water,Federal,"Rural,Tribal",Government agency,Racial and ethnic minorities,,No,Other funding,Discontinued
Foothills West Transportation Access Project,HIA reports,In progress,An HIA to provide a review of potential health effects related to a proposed road to oil and gas resources in northern Alaska.,Alaska Department of Health and Social Services (lead); Alaska Department of Natural Resources; Alaska Department of Fish and Game; Alaska Department of Environmental Conservation; Alaska Native Tribal Health Consortium; North Slope Borough; and the U.S. ,,Umiat,Alaska,,"Energy,Transportation","Bridges and roads,Gas and oil",Clean air and water,Federal,"Rural,Tribal",Government agency,,,No,Other funding,In progress
Effects of Oil and Gas Activities in the Arctic Ocean,HIA reports,In progress,"An environmental impact statement that describes and analyzes the potential effects on the human environment related to oil and gas industry offshore exploration activities (e.g., seismic surveys and exploratory drilling activities) in the U.S. Beaufort and Chukchi seas, Alaska.","North Slope Borough, Habitat Health Impact Consulting",,,Alaska,,"Energy,Natural resources management","Gas and oil,Siting",Clean air and water,Local,Rural,Nonprofit organization,,,No,Other funding,In progress
Susitna-Watana Hydroelectric Dam,HIA reports,In progress,"An HIA to inform the Federal Energy Regulatory Commission’s decision on the proposed Susitna-Watana Hydroelectric Dam in the Matanuska-Susitna Borough, Alaska.",Alaska Department of Health and Social Services (lead); Alaska Department of Natural Resources; Alaska Department of Fish and Game; Alaska Department of Environmental Conservation; Alaska Native Tribal Health Consortium; Federal Energy Regulatory Commission,,Anchorage,Alaska,,"Energy,Natural resources management","Utilities,Production,Water",,Federal,"Rural,Tribal",Government agency,,,No,Other funding,In progress
Proposed Coal Mine at Wishbone Hill,HIA reports,2012,"An HIA to provide a review of potential health effects related to the proposed Wishbone Hill Mine in the Matanuska-Susitna valley near Sutton, Alaska.",Alaska Department of Health and Social Services,,,Alaska,,"Energy,Natural resources management","Coal,Processing,Production","Access to healthy food,Clean air and water,Employment",State,Rural,Government agency,"Chronic health conditions,Racial and ethnic minorities","Literature review,Qualitative research,Primary research",No,Other funding,Completed
Bullhead City Rotary Park Rapid,HIA reports,"2014, October","A rapid HIA on how the expansion of Rotary Park in Bullhead City, Arizona, could potentially improve health through increased opportunities for physical activity and a greater sense of community through development of 38 acres into soccer, football, and baseball fields with parking.","Mohave County, Arizona, Department of Public Health",,Bullhead City,Arizona,,Planning and zoning,"Parks and green spaces,Active transportation,Land-use planning","Diet and physical activity,Safe and affordable parks and recreational facilities,Community safety,Family and social support,Safe and accessible active transportation routes",Local,Rural,Government agency,"Economically disadvantaged,Children","Primary research,Quantitative research",No,Other funding,Completed
Central Yavapai Metropolitan Planning Organization Regional Transportation Plan,HIA reports,"2014, December","An HIA of an update to the Central Yavapai Metropolitan Planning Organization’s regional transportation plan, which studied how public transit and other proposed transportation alternatives could affect the health of the most vulnerable populations in this rural area.",Yavapai County Community Health Services,,Yavapai,Arizona,,"Planning and zoning,Transportation","Planning,Public transit",Safe and affordable public transit,Regional,Rural,Government agency,,,No,Other funding,Completed
Coffelt-Lamoreaux Public Housing Redevelopment,HIA reports,2013,"An HIA that examined how residents’ physical and mental health could be affected by improvements in housing conditions and site infrastructure, such as landscaping and street upgrades, as part of the proposed plan to redevelop the Coffelt-Lamoreaux Public Housing Project in Phoenix, Arizona.","Catalyze Research and Consulting, LLC; Local Initiatives Support Corporation (LISC) Phoenix, and the Phoenix Revitalization Corporation (PRC)",,Phoenix,Arizona,,Housing,"Food and nutrition,Active transportation,Bridges and roads","Safe, affordable, and healthy housing,Diet and physical activity,Access to healthy food,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,"For-profit organization,Nonprofit organization",Economically disadvantaged,"Qualitative research,Quantitative research",Yes,Other funding,Completed
Maricopa County Sodium and Nutrition Standards Procurement Policy,HIA reports,"2012, June","An HIA to evaluate whether proposed food procurement policies and nutrition and sodium standards among Maricopa County, Arizona, departments would be likely to improve health and cut county costs by lowering blood pressure and reducing the number of individuals affected by hypertension.",Maricopa County Department of Public Health,,Maricopa County,Arizona,,"Food and nutrition policy,Consumer products",Food and nutrition,"Access to healthy food,Diet and physical activity,Income and wealth",County,Urban,Government agency,"Economically disadvantaged,Homeless,Chronic health conditions",Quantitative research,No,Other funding,Completed
Phoenix Light Rail Transit Extension,HIA reports,"2015, January","A health impact assessment that examined a transit extension connecting South Phoenix, a disadvantaged neighborhood, to the Phoenix, Arizona, light rail line.",Arizona Department of Health Services,,Phoenix,Arizona,,Transportation,"Active transportation,Public transit","Access to healthy food,Access to services/medical care,Community safety,Diet and physical activity,Employment,Family and social support,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Literature review,Focus groups,Primary research",No,Health Impact Project grantee,Completed
Pinal Creek Trail,HIA reports,"2015, August","An HIA of a proposed trail along a portion of the Pinal Creek Basin in Globe, Arizona, that explored potential health effects associated with physical activity, community enrichment and civic pride, social cohesion, vehicle trips, public and personal safety, and economic benefits.","Paramount Public Health Services, Gila County Division of Health and Emergency Management",,Globe,Arizona,,Transportation,"Active transportation,Planning","Access to services/medical care,Community safety,Diet and physical activity,Family and social support,Income and wealth,Safe and accessible active transportation routes",Local,Urban,Government agency,"Chronic health conditions,Racial and ethnic minorities","Literature review,Focus groups,Primary research,Survey,Qualitative research",No,Other funding,Completed
Shared-Use Roosevelt–School Properties as Community Space,HIA reports,"2015, December","An HIA to inform the Roosevelt School District Governing Board and superintendent as they considered authorizing community use of district-owned properties, including playgrounds, sports fields, and vacant lots, in Maricopa County, Arizona.",Maricopa County Department of Public Health,,Phoenix,Arizona,,Education,Schools,"Community safety,Family and social support",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Qualitative research,Quantitative research",No,Health Impact Project grantee,Completed
South 12th Avenue Corridor,HIA reports,"2014, December","A rapid HIA of proposed infrastructure improvements to South 12th Avenue in Tucson, Arizona, to examine potential health effects associated with safety, economic impacts, and physical activity.",Pima County Health Department,,Tuscon,Arizona,,Planning and zoning,"Active transportation,Bridges and roads,Parks and green spaces","Diet and physical activity,Safe street infrastructure,Safe and accessible active transportation routes",Local,Urban,Government agency,Chronic health conditions,Primary research,Yes,Other funding,Completed
Madison Heights,HIA reports,"2014, June","An HIA on the redevelopment of Madison Heights, a public housing unit near Phoenix, Arizona.","Arizona Department of Health Services, Local Initiative Support Corporation, Housing Authority of Maricopa County, Maricopa County Department of Health",,Phoenix,Arizona,,Housing,Redevelopment,"Access to healthy food,Noise,Diet and physical activity,Safe and affordable parks and recreational facilities,Safe, affordable, and healthy housing,Access to services/medical care,Safe and accessible active transportation routes,Safe street infrastructure,Family and social support",Local,Urban,Government agency,"Children,Economically disadvantaged,Older adults,Individuals with disabilities,Linguistically isolated,Racial and ethnic minorities","Primary research,Qualitative research,Survey",No,Health Impact Project grantee,Completed
California Assembly Bill 346: Joint Use Projects and Eligibility for State Assistance,HIA reports,"2009, January","A rapid HIA of California AB 346, which would expand the types of joint use agreements between local government and school districts to share cost, use, and responsibility of available sports facilities or spaces that are eligible for state assistance.",UC Berkeley School of Public Health,,,California,,"Planning and zoning,Other","Land-use planning,Legislation,Parks and green spaces,Siting,Schools","Diet and physical activity,Safe and affordable parks and recreational facilities",State,"Urban,Rural,Suburban",Educational institution,"Children,Economically disadvantaged","Literature review,Qualitative research",No,Other funding,Completed
Farmers Field,HIA reports,2012,A rapid HIA that considered the potential effects on low-income and underserved populations of the proposed Farmers Field football stadium complex in downtown Los Angeles.,"Human Impact Partners, Los Angeles Community Action Network (LA CAN), the Legal Aid Foundation of Los Angeles (LAFLA), and Physicians for Social Responsibility Los Angeles (PSR-LA)",,Los Angeles,California,,Planning and zoning,"Human resources policies, benefits,Land-use planning,Parks and green spaces,Siting,Wages","Clean air and water,Community safety,Employment,Family and social support,Income and wealth,Safe and affordable parks and recreational facilities,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Economically disadvantaged,Children,Older adults,Racial and ethnic minorities","Literature review,Quantitative research,Survey,Primary research,Qualitative research",Yes,Other funding,Completed
Alcohol Outlet Density in Mendocino County,HIA reports,"2013, January","An HIA investigating the health effects of alcohol outlet density in Mendocino County, California.","Mendocino County Public Health Services, Prevention and Planning Unit",,Mendocino County,California,,Planning and zoning,"Addictive substances and behaviors,Legislation,Regulation,Mental/behavioral health","Alcohol, tobacco, and drug use,Community safety",Local,Rural,Government agency,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Qualitative research,Quantitative research",Yes,Other funding,Completed
After-School Programs - Proposition 49,HIA reports,"2003, January","An HIA comparing the potential health effects of four after-school program models in anticipation of California’s Proposition 49, the After School Education and Safety Program Act of 2002.","Partnership for Prevention, UCLA School of Public Health, with support from the Robert Wood Johnson Foundation",,,California,,Education,"Financing,Legislation,Programs,Schools","Alcohol, tobacco, and drug use,Community safety,Diet and physical activity,Education",State,"Urban,Suburban,Rural",Educational institution,Economically disadvantaged,Literature review,No,Other funding,Completed
Westside Courts Public Housing Redevelopment,HIA reports,2010,An HIA that focused on a public housing redevelopment project in San Francisco.,San Francisco Department of Public Health,,San Francisco,California,,"Planning and zoning,Housing","Planning,Redevelopment,Parks and green spaces","Access to healthy food,Access to services/medical care,Family and social support,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities,Safe and affordable public transit",Local,Urban,Government agency,"Children,Economically disadvantaged","Quantitative research,Qualitative research",No,Other funding,Completed
"Wastewater Infrastructure in Fresno and Riverside Counties, California",HIA reports,In progress,"An HIA to inform decisions about wastewater infrastructure in Fresno and Riverside counties, California.",The Leadership Counsel for Justice and Accountability,,,California,,Natural resources management,"Water,Waste management,Utilities",,County,,Nonprofit organization,,,No,Health Impact Project grantee,In progress
Wage Theft in Los Angeles,HIA reports,"2014, July",An HIA of Los Angeles’ wage theft ordinance.,"Human Impact Partners, Los Angeles Coalition Against Wage Theft",,Los Angeles,California,,Labor and employment,"Regulation,Wages","Access to healthy food,Income and wealth,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Literature review,Focus groups",No,Other funding,Completed
Lake Merritt BART Station Specific Plan,HIA reports,2012,"An HIA to address the health implications of the station-area planning process for land use improvements around the Lake Merritt Bay Area Rapid Transit station in downtown Oakland, California.",Human Impact Partners,,Oakland,California,,"Planning and zoning,Transportation","Economic development,Land-use planning","Cultural well-being,Employment,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities,Safe and affordable public transit",Local,Urban,Nonprofit organization,Economically disadvantaged,"Primary research,Focus groups,Literature review,Qualitative research",No,Other funding,Completed
Providing Free or Reduced-Fare Student Bus Passes to Reduce Truancy,HIA reports,"2013, October",A health impact assessment that helped Los Angeles County’s ongoing efforts to refine its policies and protocols for processing police-issued citations for daytime curfew violations.,Los Angeles County Department of Public Health,,Los Angeles,California,,"Education,Transportation","Financing,Public transit,Schools","Adverse childhood experiences,Education,Incarceration",Local,Urban,Government agency,"Children,Economically disadvantaged,Racial and ethnic minorities",Literature review,No,Health Impact Project grantee,Completed
Fresno County Regional Transportation Plan and Sustainable Communities Strategies,HIA reports,"2014, May","An HIA to inform the development of regional transportation plans and sustainable communities strategies that will guide local land use, transportation, and other decisions important to greenhouse gas emissions.","California Rural Legal Assistance, Inc.",,Fresno County,California,,"Planning and zoning,Transportation","Planning,Land-use planning,Active transportation,Public transit,Resilience and sustainability","Safe and accessible active transportation routes,Diet and physical activity,Community safety,Safe and affordable parks and recreational facilities,Access to healthy food,Clean air and water",County,"Urban,Suburban,Rural",Nonprofit organization,,,No,Health Impact Project grantee,Completed
Alameda County Goods Movement Planning for Health,HIA reports,"2016, March","An HIA to inform development of long range strategies for moving goods efficiently, reliably, and sustainably within, to, from, and through Alameda County, California; the recommendations were included in the final freight component of the county Transportation Commission’s Goods Movement Plan.",Ditching Dirty Diesel Collaborative (a fiscally sponsored project of the San Francisco Study Center); Rose Foundation for Communities and the Environment; Alameda County Public Health,,Alameda County,California,,"Planning and zoning,Transportation","Coal,Emergency preparedness/ response,Gas and oil,Planning,Rail,Workforce development","Clean air and water,Employment,Safe and accessible active transportation routes,Safe street infrastructure",County,Urban,,"Chronic health conditions,Racial and ethnic minorities,Economically disadvantaged","Literature review,Qualitative research",Yes,Health Impact Project grantee,Completed
City Heights Skatepark,HIA reports,"2014, July","An HIA to examine the health and equity implications of a skatepark proposal in City Heights, a neighborhood in San Diego, California.","Mid-City Community Advocacy Network, Human Impact Partners",,San Diego,California,,"Community development,Planning and zoning","Parks and green spaces,Siting","Safe and affordable parks and recreational facilities,Diet and physical activity,Family and social support,Income and wealth",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged,Racial and ethnic minorities",Primary research,Yes,Other funding,Completed
I-710 Expansion,HIA reports,"2011, November",An HIA to address the health implications of the planned expansion of and improvements to the I-710 freeway in Los Angeles.,Human Impact Partners,,Los Angeles,California,,Transportation,"Bridges and roads,Economic development","Clean air and water,Employment,Noise,Safe street infrastructure",Regional,Urban,Nonprofit organization,"Children,Chronic health conditions,Economically disadvantaged,Older adults,Racial and ethnic minorities","Literature review,Quantitative research",Yes,Other funding,Completed
HOPE VI to HOPE SF: San Francisco Public Housing Redevelopment,HIA reports,2009,An HIA that looked retrospectively at efforts to rebuild two affordable housing projects in San Francisco under the U.S. Department of Housing and Urban Development’s HOPE VI program.,"University of California Berkeley Health Impact Group, Human Impact Partners",,San Francisco,California,,Housing,"Mental/behavioral health,Food and nutrition,Planning,Programs,Redevelopment","Safe, affordable, and healthy housing,Family and social support,Access to services/medical care,Access to healthy food,Community safety,Disease vectors",Local,Urban,Educational institution,"Chronic health conditions,Economically disadvantaged","Primary research,Survey,Qualitative research",Yes,Other funding,Completed
Rincon Hill Area Plan,HIA reports,2004,An HIA that provided comment on the Rincon Hill Area Plan Draft Environmental Impact Assessment.,San Francisco Department of Public Health,,San Francisco,California,,Planning and zoning,"Land-use planning,Planning","Clean air and water,Safe, affordable, and healthy housing,Safe and affordable public transit",Local,Urban,Government agency,,,Yes,Other funding,Completed
Restorative Justice Policies in Merced County Schools,HIA reports,"2014, September","An HIA of restorative justice school discipline pilots at six high schools in Merced, California, that examined the potential health effects related to educational and fiscal opportunity and achievement, suspension and school “pushout,” school climate, and mental health.","Human Impact Partners, Building Healthy Communities Merced, Merced Organizing Project, The California Endowment",,Merced,California,,Education,"Mental/behavioral health,Restorative justice,Schools","Education,Employment,Incarceration",County,Urban,Nonprofit organization,"Current/former correctional population,Economically disadvantaged,Linguistically isolated","Focus groups,Literature review,Primary research",No,Other funding,Completed
Restorative Justice in San Diego,HIA reports,"2016, October","An HIA to inform two policy proposals to improve juvenile justice outcomes through “restorative justice” interventions, such as creating opportunities for victims and offenders to discuss the crime and residual effects and seek a joint resolution.",Mid-City CAN,,San Diego,California,,Criminal justice,"Restorative justice,Treatment alternatives","Adverse childhood experiences,Community safety,Education,Family and social support,Incarceration",Local,Urban,,"Current/former correctional population,Economically disadvantaged,Linguistically isolated","Focus groups,Literature review,Primary research",No,Health Impact Project grantee,Completed
Treasure Island Transportation Plan,HIA reports,2009,"An HIA of the Treasure Island Transportation Plan, part of the larger redevelopment plan for a former naval base in the San Francisco Bay, that focused on ways to design and implent the system to maximize opportunities for active transportation—such as walking and cycling—and minimize the risk of injuries.",San Francisco Department of Public Health,,San Francisco,California,,"Planning and zoning,Transportation",Active transportation,"Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,Other,"Qualitative research,Literature review,Quantitative research",No,Other funding,Completed
The Crossings at 29th and San Pedro St. - South Central Redevelopment,HIA reports,2009,"An HIA that addressed the health implications of plans for The Crossings at 29th Street, a proposed 11.6-acre development in South Los Angeles that includes more than 450 units of affordable housing and retail and multipurpose space for community activities.","Human Impact Partners, Los Angeles Association of Community, Organizations for Reform Now",,Los Angeles,California,,"Housing,Planning and zoning","Economic development,Parks and green spaces,Planning,Public transit","Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged,Racial and ethnic minorities","Quantitative research,Primary research,Qualitative research",Yes,Other funding,Completed
Sunnydale Public Housing Redevelopment,HIA reports,"2010, September","An HIA on the redevelopment of the Sunnydale housing complex in San Francisco, focusing on housing affordability and access to transit and jobs.",San Francisco Department of Public Health,,San Francisco,California,,"Housing,Planning and zoning","Planning,Redevelopment","Family and social support,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable public transit",Local,Urban,Government agency,"Children,Economically disadvantaged","Qualitative research,Quantitative research",No,Other funding,Completed
School Discipline Policies,HIA reports,"2012, May","An HIA on the health implications of three different approaches to disciplining students in California schools: zero tolerance, positive behavioral interventions and supports, and restorative justice.",Human Impact Partners,,,California,,Education,"Restorative justice,Schools","Alcohol, tobacco, and drug use,Community safety,Education,Family and social support,Incarceration",County,"Urban,Suburban,Rural",Nonprofit organization,"Children,Racial and ethnic minorities","Quantitative research,Qualitative research",Yes,Other funding,Completed
"Saving Energy, Improving Health: Potential Impacts of Energy Efficiency Program Design on Noise and Air Pollution Exposure",HIA reports,"2013, May",An HIA that used environmental quality and housing data from the City and County of San Francisco to evaluate how health benefits of energy efficiency retrofits vary with levels of exposure and type of improvement and estimated that standard upgrades would probably reduce deaths from ambient fine particulate matter by 4 percent.,San Francisco Department of Public Health,,San Francisco,California,,"Energy,Housing","Legislation,Resilience and sustainability","Clean air and water,Extreme weather events,Noise,Safe, affordable, and healthy housing",County,Urban,Government agency,"Children,Chronic health conditions,Older adults","Literature review,Qualitative research",No,Other funding,Completed
